Name,State,Department,Type,People,Latitude,Longitude
Columbus,TX,Judicial,Commissioner,2,29.7066232,-96.539693
Sabine Pass,TX,Judicial,Commissioner,1,29.7335518,-93.894333
Victoria,TX,Judicial,Commissioner,1,28.8052674,-97.003598
Laredo,TX,Judicial,Commissioner,1,27.5305671,-99.480324
Hempstead,TX,Judicial,Commissioner,1,30.0974405,-96.078292
Columbia,TX,Judicial,Commissioner,1,29.141389,-95.646944
Richmond,TX,Judicial,Commissioner,1,29.5821811,-95.760783
Austin,TX,Judicial,Commissioner,1,30.267153,-97.743061
Paris,TX,Judicial,Commissioner,2,33.6609389,-95.555513
Texarkana,TX,Judicial,Commissioner,2,33.425125,-94.047688
Nacogdoches,TX,Judicial,Commissioner,1,31.6035129,-94.655487
Jacksonville,TX,Judicial,Commissioner,1,31.963778,-95.270504
Sherman,TX,Judicial,Commissioner,1,33.6356618,-96.608881
Fort Worth,TX,Judicial,Commissioner,1,32.7554883,-97.330766
Linn Flat,TX,Judicial,Commissioner,1,31.78989,-94.73187
Kaufman,TX,Judicial,Commissioner,1,32.5890238,-96.308869
Marshall,TX,Judicial,Commissioner,3,32.5448714,-94.367418
Palestine,TX,Judicial,Commissioner,1,31.7621153,-95.630789
Dallas,TX,Judicial,Commissioner,1,32.7766642,-96.796988
Athens,TX,Judicial,Commissioner,1,32.2048735,-95.855521
Crockett,TX,Judicial,Commissioner,1,31.3182359,-95.456614
Lexington,TX,Judicial,Commissioner,1,30.4190974,-97.011652
Henderson,TX,Judicial,Commissioner,1,32.1532156,-94.79938
San Augustine,TX,Judicial,Commissioner,1,31.5299029,-94.106028
Denton,TX,Judicial,Commissioner,1,33.2148412,-97.133068
Clarksville,TX,Judicial,Commissioner,1,33.6106648,-95.052722
Denison,TX,Judicial,Commissioner,1,33.7556593,-96.536658
Corsicana,TX,Judicial,Commissioner,1,32.0954304,-96.468873
Fort Clark,TX,Judicial,Commissioner,1,29.30583333,-100.4080556
Salt Lake City,UT,Judicial,Commissioner,2,40.7607793,-111.891047
Provo,UT,Judicial,Commissioner,2,40.2338438,-111.658534
Beaver,UT,Judicial,Commissioner,1,38.2769149,-112.641052
Seattle,WA,Judicial,Commissioner,2,47.6062095,-122.332071
Olympia,WA,Judicial,Commissioner,1,47.0378741,-122.900695
Walla Walla,WA,Judicial,Commissioner,1,46.0645809,-118.343021
Yakima,WA,Judicial,Commissioner,1,46.6020711,-120.505899
Vancouver,WA,Judicial,Commissioner,1,45.6387281,-122.661486
Port Townsend,WA,Judicial,Commissioner,1,48.1170387,-122.760447
Steilacoom,WA,Judicial,Commissioner,1,47.1698197,-122.602627
Green River,WY,Judicial,Commissioner,1,41.5285757,-109.466246
Fort Laramie,WY,Judicial,Commissioner,1,42.20916667,-104.5358333
Cheyenne,WY,Judicial,Commissioner,2,41.1399814,-104.820246
Laramie,WY,Judicial,Commissioner,1,41.3113669,-105.591101
Evanston,WY,Judicial,Commissioner,1,41.2682794,-110.963237
Tucson,AZ,Judicial,Court,5,32.2217429,-110.926479
Phoenix,AZ,Judicial,Court,1,33.4483771,-112.074037
Yuma,AZ,Judicial,Court,3,32.6926512,-114.627692
Prescott,AZ,Judicial,Court,1,34.5400242,-112.468503
San Francisco,CA,Judicial,Court,10,37.7749295,-122.419416
Los Angeles,CA,Judicial,Court,1,34.0522342,-118.243685
Pueblo,CO,Judicial,Court,3,38.2544472,-104.609141
Denver,CO,Judicial,Court,5,39.7392358,-104.990251
Boise,ID,Judicial,Court,6,43.6187102,-116.214607
Lewiston,ID,Judicial,Court,3,46.39901,-117.004303
Malade,ID,Judicial,Court,2,42.190833,-112.249167
Atchison,KS,Judicial,Court,1,39.5630521,-95.121636
Topeka,KS,Judicial,Court,4,39.0558235,-95.689019
Leavenworth,KS,Judicial,Court,2,39.3111112,-94.922464
Emporia,KS,Judicial,Court,1,38.403903,-96.181663
Fort Scott,KS,Judicial,Court,1,37.8397626,-94.708295
Helena,MT,Judicial,Court,5,46.5883707,-112.024505
Virginia City,MT,Judicial,Court,3,45.2938143,-111.946091
Deer Lodge,MT,Judicial,Court,3,46.3990941,-112.738372
Falls City,NE,Judicial,Court,1,40.0608352,-95.601929
Omaha,NE,Judicial,Court,6,41.2523634,-95.997988
Santa Fe,NM,Judicial,Court,5,35.6869752,-105.937799
Albuquerque,NM,Judicial,Court,2,35.0853336,-106.605553
La Mesilla,NM,Judicial,Court,2,35.9483575,-106.070579
Carson City,NV,Judicial,Court,2,39.1637984,-119.767403
Virginia City,NV,Judicial,Court,4,39.3095135,-119.649979
Portland,OR,Judicial,Court,5,45.5230622,-122.676482
Salem,OR,Judicial,Court,1,44.9428975,-123.035096
Yankton,SD,Judicial,Court,5,42.8711088,-97.397281
Vermillion,SD,Judicial,Court,1,42.7794417,-96.92921
Black Hills,SD,Judicial,Court,1,44.0805434,-103.231015
Sheridan,SD,Judicial,Court,1,43.976932,-103.470468
Galveston,TX,Judicial,Court,5,29.3013479,-94.797696
Houston,TX,Judicial,Court,1,29.7604267,-95.369803
Brownsville,TX,Judicial,Court,1,25.9017472,-97.497484
Austin,TX,Judicial,Court,4,30.267153,-97.743061
Waco,TX,Judicial,Court,2,31.549333,-97.14667
Tyler,TX,Judicial,Court,2,32.3512601,-95.301062
Salt Lake City,UT,Judicial,Court,8,40.7607793,-111.891047
Provo,UT,Judicial,Court,2,40.2338438,-111.658534
Beaver,UT,Judicial,Court,2,38.2769149,-112.641052
Seattle,WA,Judicial,Court,2,47.6062095,-122.332071
Olympia,WA,Judicial,Court,5,47.0378741,-122.900695
Walla Walla,WA,Judicial,Court,2,46.0645809,-118.343021
Yakima,WA,Judicial,Court,1,46.6020711,-120.505899
Vancouver,WA,Judicial,Court,1,45.6387281,-122.661486
Kulama,WA,Judicial,Court,1,46.0084472,-122.844551
Steilacoom,WA,Judicial,Court,1,47.1698197,-122.602627
Port Townsend,WA,Judicial,Court,1,48.1170387,-122.760447
Cheyenne,WY,Judicial,Court,5,41.1399814,-104.820246
Laramie,WY,Judicial,Court,2,41.3113669,-105.591101
Evanston,WY,Judicial,Court,2,41.2682794,-110.963237
Boise,ID,Treasury Department,Assay Office,2,43.6187102,-116.214607
Helena,MT,Treasury Department,Assay Office,5,46.5883707,-112.024505
Arizona City,AZ,Treasury Department,Customs Service,1,32.7558935,-111.670958
Victoria,BC,Treasury Department,Customs Service,1,48.4284207,-123.365644
San Diego,CA,Treasury Department,Customs Service,3,32.715738,-117.161084
San Francisco,CA,Treasury Department,Customs Service,211,37.7749295,-122.419416
Vallejo,CA,Treasury Department,Customs Service,1,38.1040864,-122.256637
Eureka,CA,Treasury Department,Customs Service,2,40.8020712,-124.163673
Wilmington,CA,Treasury Department,Customs Service,1,33.7857948,-118.264357
Santa Barbara,CA,Treasury Department,Customs Service,1,34.4208305,-119.69819
Helena,MT,Treasury Department,Customs Service,2,46.5883707,-112.024505
Pembina,ND,Treasury Department,Customs Service,8,48.9663765,-97.243676
Omaha,NE,Treasury Department,Customs Service,4,41.2523634,-95.997988
Tucson,AZ,Treasury Department,Customs Service,1,32.2217429,-110.926479
Las Cruces,NM,Treasury Department,Customs Service,1,32.3199396,-106.763654
Astoria,OR,Treasury Department,Customs Service,6,46.1878841,-123.831253
Oysterville,OR,Treasury Department,Customs Service,1,46.5489871,-124.02822
Yakima,OR,Treasury Department,Customs Service,1,46.6020711,-120.505899
Empire City,OR,Treasury Department,Customs Service,1,43.376389,-124.237222
Gardiner City,OR,Treasury Department,Customs Service,1,43.730278,-124.11
Portland,OR,Treasury Department,Customs Service,13,45.5230622,-122.676482
Brownsville,TX,Treasury Department,Customs Service,18,25.9017472,-97.497484
Brazos Island,TX,Treasury Department,Customs Service,3,26.0306348,-97.157471
Edinburg,TX,Treasury Department,Customs Service,3,26.3017374,-98.163343
Rio Grande City,TX,Treasury Department,Customs Service,4,26.3797874,-98.820305
Roma,TX,Treasury Department,Customs Service,4,26.4088523,-99.015655
Santa Maria,TX,Treasury Department,Customs Service,2,26.0786883,-97.849442
Corpus Christi,TX,Treasury Department,Customs Service,10,27.8005828,-97.396381
Laredo,TX,Treasury Department,Customs Service,2,27.5305671,-99.480324
Carrizo,TX,Treasury Department,Customs Service,1,28.526667,-99.8625
Aransas Pass,TX,Treasury Department,Customs Service,1,27.9094677,-97.14999
El Paso,TX,Treasury Department,Customs Service,5,31.7618778,-106.485022
Del Norte,TX,Treasury Department,Customs Service,1,31.7618778,-106.485022
Silver City,TX,Treasury Department,Customs Service,1,32.0709662,-100.682606
Ysleta,TX,Treasury Department,Customs Service,1,31.6984446,-106.324982
San Elezario,TX,Treasury Department,Customs Service,1,31.5851146,-106.272757
Galveston,TX,Treasury Department,Customs Service,22,29.3013479,-94.797696
Sabine Pass,TX,Treasury Department,Customs Service,1,29.7335518,-93.894333
Houston,TX,Treasury Department,Customs Service,1,29.7604267,-95.369803
Velasco,TX,Treasury Department,Customs Service,1,28.9619144,-95.360495
San Luis Pass,TX,Treasury Department,Customs Service,1,29.0794663,-95.119756
Indianola,TX,Treasury Department,Customs Service,5,28.5119449,-96.487475
Eagle Pass,TX,Treasury Department,Customs Service,3,28.7091433,-100.499521
San Antonio,TX,Treasury Department,Customs Service,1,29.4241219,-98.493628
San Felipe,TX,Treasury Department,Customs Service,1,29.7930093,-96.100793
Port Townsend,WA,Treasury Department,Customs Service,10,48.1170387,-122.760447
Fort Colville,WA,Treasury Department,Customs Service,1,48.62833333,-118.0919444
Neah Bay,WA,Treasury Department,Customs Service,1,48.3681223,-124.62496
San Juan,WA,Treasury Department,Customs Service,1,48.53389,-123.01862
Sehome,WA,Treasury Department,Customs Service,1,48.7396077,-122.475473
San Francisco,CA,Treasury Department,Internal Revenue_Agent,1,37.7749295,-122.419416
Prescott,AZ,Treasury Department,Internal Revenue_Collector,1,34.5400242,-112.468503
San Francisco,CA,Treasury Department,Internal Revenue_Collector,1,37.7749295,-122.419416
Sacramento,CA,Treasury Department,Internal Revenue_Collector,1,38.5815719,-121.4944
Denver,CO,Treasury Department,Internal Revenue_Collector,1,39.7392358,-104.990251
Boise,ID,Treasury Department,Internal Revenue_Collector,1,43.6187102,-116.214607
Ottawa,KS,Treasury Department,Internal Revenue_Collector,1,38.615768,-95.268637
Helena,MT,Treasury Department,Internal Revenue_Collector,1,46.5883707,-112.024505
Nebraska City,NE,Treasury Department,Internal Revenue_Collector,1,40.6765745,-95.859362
Santa Fe,NM,Treasury Department,Internal Revenue_Collector,1,35.6869752,-105.937799
Virginia City,NV,Treasury Department,Internal Revenue_Collector,1,39.3095135,-119.649979
Portland,OR,Treasury Department,Internal Revenue_Collector,1,45.5230622,-122.676482
Vermillion,SD,Treasury Department,Internal Revenue_Collector,1,42.7794417,-96.92921
Galveston,TX,Treasury Department,Internal Revenue_Collector,1,29.3013479,-94.797696
Austin,TX,Treasury Department,Internal Revenue_Collector,1,30.267153,-97.743061
Jefferson,TX,Treasury Department,Internal Revenue_Collector,1,32.7573626,-94.345193
Salt Lake City,UT,Treasury Department,Internal Revenue_Collector,1,40.7607793,-111.891047
Olympia,WA,Treasury Department,Internal Revenue_Collector,1,47.0378741,-122.900695
Cheyenne,WY,Treasury Department,Internal Revenue_Collector,1,41.1399814,-104.820246
Tucson,AZ,Treasury Department,Internal Revenue_Deputy Collector,1,32.2217429,-110.926479
Yuma,AZ,Treasury Department,Internal Revenue_Deputy Collector,1,32.6926512,-114.627692
San Francisco,CA,Treasury Department,Internal Revenue_Deputy Collector,10,37.7749295,-122.419416
Los Angeles,CA,Treasury Department,Internal Revenue_Deputy Collector,2,34.0522342,-118.243685
Santa Cruz,CA,Treasury Department,Internal Revenue_Deputy Collector,1,36.9741171,-122.030796
Antioch,CA,Treasury Department,Internal Revenue_Deputy Collector,1,38.0049214,-121.805789
Santa Barbara,CA,Treasury Department,Internal Revenue_Deputy Collector,1,34.4208305,-119.69819
Stockton,CA,Treasury Department,Internal Revenue_Deputy Collector,1,37.9577016,-121.29078
Independence,CA,Treasury Department,Internal Revenue_Deputy Collector,2,36.8027102,-118.200095
Visalia,CA,Treasury Department,Internal Revenue_Deputy Collector,1,36.3302284,-119.292059
Merced,CA,Treasury Department,Internal Revenue_Deputy Collector,1,37.3021632,-120.482968
Sonora,CA,Treasury Department,Internal Revenue_Deputy Collector,1,37.9829496,-120.382172
Mokelumne Hill,CA,Treasury Department,Internal Revenue_Deputy Collector,1,38.3004709,-120.706322
Sacramento,CA,Treasury Department,Internal Revenue_Deputy Collector,1,38.5815719,-121.4944
Jackson,CA,Treasury Department,Internal Revenue_Deputy Collector,1,38.3488023,-120.774102
Placerville,CA,Treasury Department,Internal Revenue_Deputy Collector,1,38.7296252,-120.798546
Nevada City,CA,Treasury Department,Internal Revenue_Deputy Collector,1,39.2615606,-121.016059
La Porte,CA,Treasury Department,Internal Revenue_Deputy Collector,1,39.6821146,-120.984121
Yreka,CA,Treasury Department,Internal Revenue_Deputy Collector,1,41.7354186,-122.634471
Suisun,CA,Treasury Department,Internal Revenue_Deputy Collector,1,38.2382474,-122.040244
Napa,CA,Treasury Department,Internal Revenue_Deputy Collector,1,38.2975381,-122.286865
Ukiah,CA,Treasury Department,Internal Revenue_Deputy Collector,1,39.1501709,-123.207783
Arcata,CA,Treasury Department,Internal Revenue_Deputy Collector,1,40.8665166,-124.08284
Denver,CO,Treasury Department,Internal Revenue_Deputy Collector,1,39.7392358,-104.990251
Georgetown,CO,Treasury Department,Internal Revenue_Deputy Collector,1,39.7060984,-105.697504
Colorado Springs,CO,Treasury Department,Internal Revenue_Deputy Collector,1,38.8338816,-104.821363
Del Norte,CO,Treasury Department,Internal Revenue_Deputy Collector,1,37.6788919,-106.353368
Boise,ID,Treasury Department,Internal Revenue_Deputy Collector,1,43.6187102,-116.214607
Lewiston,ID,Treasury Department,Internal Revenue_Deputy Collector,1,46.39901,-117.004303
Leavenworth,KS,Treasury Department,Internal Revenue_Deputy Collector,1,39.3111112,-94.922464
Fort Scott,KS,Treasury Department,Internal Revenue_Deputy Collector,1,37.8397626,-94.708295
Junction City,KS,Treasury Department,Internal Revenue_Deputy Collector,1,39.0286093,-96.831398
Helena,MT,Treasury Department,Internal Revenue_Deputy Collector,1,46.5883707,-112.024505
Bozeman,MT,Treasury Department,Internal Revenue_Deputy Collector,1,45.6769979,-111.042934
Butte City,MT,Treasury Department,Internal Revenue_Deputy Collector,1,46.0038232,-112.534778
Nebraska City,NE,Treasury Department,Internal Revenue_Deputy Collector,2,40.6765745,-95.859362
Omaha,NE,Treasury Department,Internal Revenue_Deputy Collector,2,41.2523634,-95.997988
Las Vegas,NM,Treasury Department,Internal Revenue_Deputy Collector,1,35.5942137,-105.222798
Socorro,NM,Treasury Department,Internal Revenue_Deputy Collector,1,34.0583995,-106.891416
Santa Fe,NM,Treasury Department,Internal Revenue_Deputy Collector,1,35.6869752,-105.937799
Virginia City,NV,Treasury Department,Internal Revenue_Deputy Collector,1,39.3095135,-119.649979
Winnemucca,NV,Treasury Department,Internal Revenue_Deputy Collector,1,40.9729584,-117.735685
Austin,NV,Treasury Department,Internal Revenue_Deputy Collector,1,39.4925701,-117.067236
Pioche,NV,Treasury Department,Internal Revenue_Deputy Collector,1,37.9298739,-114.45162
Portland,OR,Treasury Department,Internal Revenue_Deputy Collector,1,45.5230622,-122.676482
Dalles,OR,Treasury Department,Internal Revenue_Deputy Collector,1,32.7766642,-96.796988
Salem,OR,Treasury Department,Internal Revenue_Deputy Collector,1,44.9428975,-123.035096
Elk Point,SD,Treasury Department,Internal Revenue_Deputy Collector,1,42.6833303,-96.683648
Deadwood,SD,Treasury Department,Internal Revenue_Deputy Collector,1,44.376651,-103.729642
Victoria,TX,Treasury Department,Internal Revenue_Deputy Collector,2,28.8052674,-97.003598
Galveston,TX,Treasury Department,Internal Revenue_Deputy Collector,2,29.3013479,-94.797696
Huntsville,TX,Treasury Department,Internal Revenue_Deputy Collector,1,30.7235263,-95.550777
Hockley,TX,Treasury Department,Internal Revenue_Deputy Collector,1,30.026861,-95.845856
Austin,TX,Treasury Department,Internal Revenue_Deputy Collector,1,30.267153,-97.743061
San Antonio,TX,Treasury Department,Internal Revenue_Deputy Collector,1,29.4241219,-98.493628
Waco,TX,Treasury Department,Internal Revenue_Deputy Collector,1,31.549333,-97.14667
Fort Worth,TX,Treasury Department,Internal Revenue_Deputy Collector,1,32.7554883,-97.330766
Marshall,TX,Treasury Department,Internal Revenue_Deputy Collector,1,32.5448714,-94.367418
Sulphur Springs,TX,Treasury Department,Internal Revenue_Deputy Collector,1,33.1384479,-95.601067
Dallas,TX,Treasury Department,Internal Revenue_Deputy Collector,1,32.7766642,-96.796988
Jefferson,TX,Treasury Department,Internal Revenue_Deputy Collector,1,32.7573626,-94.345193
Salt Lake City,UT,Treasury Department,Internal Revenue_Deputy Collector,1,40.7607793,-111.891047
Beaver,UT,Treasury Department,Internal Revenue_Deputy Collector,1,38.2769149,-112.641052
Olympia,WA,Treasury Department,Internal Revenue_Deputy Collector,1,47.0378741,-122.900695
Walla Walla,WA,Treasury Department,Internal Revenue_Deputy Collector,1,46.0645809,-118.343021
Cheyenne,WY,Treasury Department,Internal Revenue_Deputy Collector,1,41.1399814,-104.820246
Green River,WY,Treasury Department,Internal Revenue_Deputy Collector,1,41.5285757,-109.466246
San Francisco,CA,Treasury Department,Internal Revenue_Gaugers,13,37.7749295,-122.419416
Stockton,CA,Treasury Department,Internal Revenue_Gaugers,2,37.9577016,-121.29078
Los Angeles,CA,Treasury Department,Internal Revenue_Gaugers,1,34.0522342,-118.243685
San Jose,CA,Treasury Department,Internal Revenue_Gaugers,3,37.3382082,-121.886329
San Diego,CA,Treasury Department,Internal Revenue_Gaugers,1,32.715738,-117.161084
Weaverville,CA,Treasury Department,Internal Revenue_Gaugers,1,40.7309778,-122.941971
Placerville,CA,Treasury Department,Internal Revenue_Gaugers,1,38.7296252,-120.798546
Sacramento,CA,Treasury Department,Internal Revenue_Gaugers,2,38.5815719,-121.4944
Napa,CA,Treasury Department,Internal Revenue_Gaugers,1,38.2975381,-122.286865
Denver,CO,Treasury Department,Internal Revenue_Gaugers,1,39.7392358,-104.990251
Pueblo,CO,Treasury Department,Internal Revenue_Gaugers,1,38.2544472,-104.609141
Golden,CO,Treasury Department,Internal Revenue_Gaugers,1,39.755543,-105.2211
Del Norte,CO,Treasury Department,Internal Revenue_Gaugers,1,37.6788919,-106.353368
Boise,ID,Treasury Department,Internal Revenue_Gaugers,2,43.6187102,-116.214607
Leavenworth,KS,Treasury Department,Internal Revenue_Gaugers,1,39.3111112,-94.922464
Lawrence,KS,Treasury Department,Internal Revenue_Gaugers,1,38.9716689,-95.23525
Fort Scott,KS,Treasury Department,Internal Revenue_Gaugers,1,37.8397626,-94.708295
Iola,KS,Treasury Department,Internal Revenue_Gaugers,1,37.9244799,-95.399981
Junction City,KS,Treasury Department,Internal Revenue_Gaugers,1,39.0286093,-96.831398
Topeka,KS,Treasury Department,Internal Revenue_Gaugers,1,39.0558235,-95.689019
Independence,KS,Treasury Department,Internal Revenue_Gaugers,1,37.2242358,-95.708313
Emporia,KS,Treasury Department,Internal Revenue_Gaugers,1,38.403903,-96.181663
Wichita,KS,Treasury Department,Internal Revenue_Gaugers,1,37.6871761,-97.330053
Helena,MT,Treasury Department,Internal Revenue_Gaugers,1,46.5883707,-112.024505
Fargo,ND,Treasury Department,Internal Revenue_Gaugers,1,46.8771863,-96.789803
Omaha,NE,Treasury Department,Internal Revenue_Gaugers,2,41.2523634,-95.997988
Nebraska City,NE,Treasury Department,Internal Revenue_Gaugers,1,40.6765745,-95.859362
Santa Fe,NM,Treasury Department,Internal Revenue_Gaugers,1,35.6869752,-105.937799
Virginia City,NV,Treasury Department,Internal Revenue_Gaugers,1,39.3095135,-119.649979
Portland,OR,Treasury Department,Internal Revenue_Gaugers,1,45.5230622,-122.676482
Yankton,SD,Treasury Department,Internal Revenue_Gaugers,1,42.8711088,-97.397281
Galveston,TX,Treasury Department,Internal Revenue_Gaugers,2,29.3013479,-94.797696
San Antonio,TX,Treasury Department,Internal Revenue_Gaugers,1,29.4241219,-98.493628
Austin,TX,Treasury Department,Internal Revenue_Gaugers,1,30.267153,-97.743061
Waco,TX,Treasury Department,Internal Revenue_Gaugers,1,31.549333,-97.14667
Dallas,TX,Treasury Department,Internal Revenue_Gaugers,1,32.7766642,-96.796988
Salt Lake City,UT,Treasury Department,Internal Revenue_Gaugers,1,40.7607793,-111.891047
Walla Walla,WA,Treasury Department,Internal Revenue_Gaugers,1,46.0645809,-118.343021
Port Gamble,WA,Treasury Department,Internal Revenue_Gaugers,1,47.8542606,-122.583758
Seattle,WA,Treasury Department,Internal Revenue_Gaugers,1,47.6062095,-122.332071
Cheyenne,WY,Treasury Department,Internal Revenue_Gaugers,1,41.1399814,-104.820246
San Francisco,CA,Treasury Department,Internal Revenue_Storekeepers,6,37.7749295,-122.419416
Stockton,CA,Treasury Department,Internal Revenue_Storekeepers,3,37.9577016,-121.29078
Placerville,CA,Treasury Department,Internal Revenue_Storekeepers,2,38.7296252,-120.798546
Iowa Hill,CA,Treasury Department,Internal Revenue_Storekeepers,1,39.1085091,-120.859382
Sacramento,CA,Treasury Department,Internal Revenue_Storekeepers,2,38.5815719,-121.4944
Santa Rosa,CA,Treasury Department,Internal Revenue_Storekeepers,1,38.440429,-122.714055
Pueblo,CO,Treasury Department,Internal Revenue_Storekeepers,1,38.2544472,-104.609141
Baldwin,KS,Treasury Department,Internal Revenue_Storekeepers,1,38.7775,-95.1875
Leavenworth,KS,Treasury Department,Internal Revenue_Storekeepers,1,39.3111112,-94.922464
Iola,KS,Treasury Department,Internal Revenue_Storekeepers,1,37.9244799,-95.399981
Helena,MT,Treasury Department,Internal Revenue_Storekeepers,2,46.5883707,-112.024505
Omaha,NE,Treasury Department,Internal Revenue_Storekeepers,3,41.2523634,-95.997988
Nebraska City,NE,Treasury Department,Internal Revenue_Storekeepers,2,40.6765745,-95.859362
Galveston,TX,Treasury Department,Internal Revenue_Storekeepers,2,29.3013479,-94.797696
San Antonio,TX,Treasury Department,Internal Revenue_Storekeepers,1,29.4241219,-98.493628
Weathersfield,TX,Treasury Department,Internal Revenue_Storekeepers,1,29.5537747,-98.47123
Austin,TX,Treasury Department,Internal Revenue_Storekeepers,2,30.267153,-97.743061
Waco,TX,Treasury Department,Internal Revenue_Storekeepers,1,31.549333,-97.14667
Marshall,TX,Treasury Department,Internal Revenue_Storekeepers,1,32.5448714,-94.367418
Salt Lake City,UT,Treasury Department,Internal Revenue_Storekeepers,1,40.7607793,-111.891047
Walla Walla,WA,Treasury Department,Internal Revenue_Storekeepers,1,46.0645809,-118.343021
Boise,ID,Treasury Department,Internal Revenue_Storekeepers and Gaugers,1,43.6187102,-116.214607
Helena,MT,Treasury Department,Internal Revenue_Storekeepers and Gaugers,1,46.5883707,-112.024505
Galveston,TX,Treasury Department,Internal Revenue_Storekeepers and Gaugers,1,29.3013479,-94.797696
Austin,TX,Treasury Department,Internal Revenue_Storekeepers and Gaugers,6,30.267153,-97.743061
Waco,TX,Treasury Department,Internal Revenue_Storekeepers and Gaugers,1,31.549333,-97.14667
Leavenworth,KS,Treasury Department,Internal Revenue_TobaccoInspector,1,39.3111112,-94.922464
San Francisco,CA,Treasury Department,Lifesaving Service,1,37.7749295,-122.419416
Point Montara,CA,Treasury Department,Lighthouse,2,37.503373,-122.494722
Yerba Buena,CA,Treasury Department,Lighthouse,3,37.7749295,-122.419416
Point Loma,CA,Treasury Department,Lighthouse,2,32.70003,-117.246684
Santa Barbara,CA,Treasury Department,Lighthouse,1,34.4208305,-119.69819
Point Conception,CA,Treasury Department,Lighthouse,4,34.448753,-120.470753
Point Pinos,CA,Treasury Department,Lighthouse,2,36.6388482,-121.930233
Santa Cruz,CA,Treasury Department,Lighthouse,1,36.9741171,-122.030796
Ano Nuevo,CA,Treasury Department,Lighthouse,2,37.133056,-122.333056
Pigeon Point,CA,Treasury Department,Lighthouse,4,37.18175,-122.393917
Farallones,CA,Treasury Department,Lighthouse,3,37.698966,-123.001651
Point Benita,CA,Treasury Department,Lighthouse,4,37.81559,-122.52956
Fort Point,CA,Treasury Department,Lighthouse,2,37.8105931,-122.477109
Alcatraz,CA,Treasury Department,Lighthouse,2,37.8269775,-122.422956
Point Reyes,CA,Treasury Department,Lighthouse,4,38.0690894,-122.806936
Point Arena,CA,Treasury Department,Lighthouse,4,38.95476,-123.74084
Cape Mendocino,CA,Treasury Department,Lighthouse,3,40.439906,-124.406031
Humboldt,CA,Treasury Department,Lighthouse,3,40.7450055,-123.869509
Trinidad Head,CA,Treasury Department,Lighthouse,1,41.0541666,-124.150556
Crescent City,CA,Treasury Department,Lighthouse,1,41.7557501,-124.202591
Mare Island,CA,Treasury Department,Lighthouse,2,38.0954755,-122.27247
East Brother,CA,Treasury Department,Lighthouse,3,37.963233,-122.433643
Piedras Blancas,CA,Treasury Department,Lighthouse,3,35.66563,-121.28432
Point Hueneme,CA,Treasury Department,Lighthouse,2,34.145176,-119.210019
Point Fermin,CA,Treasury Department,Lighthouse,2,33.7050194,-118.29396
Cape Blanco,OR,Treasury Department,Lighthouse,3,42.836667,-124.563333
Cape Arago,OR,Treasury Department,Lighthouse,2,43.34123,-124.37543
Cape Foulweather,OR,Treasury Department,Lighthouse,3,44.676778,-124.079417
Shoalwater Bay,OR,Treasury Department,Lighthouse,2,46.71,-124.08
Point Adams,OR,Treasury Department,Lighthouse,3,46.188333,-123.977778
Calcasien,TX,Treasury Department,Lighthouse,1,30.07493,-93.32235
Sabine Pass,TX,Treasury Department,Lighthouse,2,29.7335518,-93.894333
Galveston,TX,Treasury Department,Lighthouse,1,29.3013479,-94.797696
Bolivar Point,TX,Treasury Department,Lighthouse,2,29.366611,-94.767181
Half Moon Shoal,TX,Treasury Department,Lighthouse,2,29.4002336,-94.84881
Red Fish Bar,TX,Treasury Department,Lighthouse,2,29.508008,-94.864923
Clopper's Bar,TX,Treasury Department,Lighthouse,2,29.47197,-94.76915
Matagorda,TX,Treasury Department,Lighthouse,2,28.691133,-95.968271
West Shoal,TX,Treasury Department,Lighthouse,2,28.44758,-96.40535
East Shoal,TX,Treasury Department,Lighthouse,2,28.383333,-96.4
Half Moon Reef,TX,Treasury Department,Lighthouse,2,28.636889,-96.617278
Aransas Pass,TX,Treasury Department,Lighthouse,2,27.9094677,-97.14999
Point Isabel,TX,Treasury Department,Lighthouse,2,26.07797,-97.20711
Brazos Island,TX,Treasury Department,Lighthouse,1,26.0306348,-97.157471
Cape Disappointment,WA,Treasury Department,Lighthouse,3,46.2756,-124.0518
Cape Flattery,WA,Treasury Department,Lighthouse,4,48.3917,-124.7366
Ediz Hook,WA,Treasury Department,Lighthouse,2,48.1414793,-123.437408
New Dungeness,WA,Treasury Department,Lighthouse,3,48.1818,-123.1096
Smith Island,WA,Treasury Department,Lighthouse,2,48.318333,-122.843333
Admiralty Head,WA,Treasury Department,Lighthouse,2,48.155374,-122.679333
San Francisco,CA,Treasury Department,Lighthouse Inspectors and Engineers Office,5,37.7749295,-122.419416
Astoria,OR,Treasury Department,Lighthouse Inspectors and Engineers Office,1,46.1878841,-123.831253
Portland,OR,Treasury Department,Lighthouse Inspectors and Engineers Office,2,45.5230622,-122.676482
San Francisco,CA,Treasury Department,Marine Hospital,3,37.7749295,-122.419416
Galevston,TX,Treasury Department,Marine Hospital,1,29.3013479,-94.797696
San Francisco,CA,Treasury Department,Special Agent,2,37.7749295,-122.419416
Brownsville,TX,Treasury Department,Special Agent,1,25.9017472,-97.497484
San Francisco,CA,Treasury Department,Steamboat Inspection Service,4,37.7749295,-122.419416
Portland,OR,Treasury Department,Steamboat Inspection Service,2,45.5230622,-122.676482
